wavelength,spectrum
1458,1.00492E+14
1459,1.1003E+14
1460,7.01657E+13
1461,6.93868E+13
1462,8.39519E+13
1463,4.96456E+13
1464,9.59527E+13
1465,7.13641E+13
1466,4.78483E+13
1467,3.29446E+13
1468,5.45328E+13
1469,6.40945E+13
1470,3.78469E+13
1471,1.87698E+13
1472,3.40104E+13
1473,5.22174E+13
1474,7.75497E+13
1475,1.17776E+14
1476,6.1736E+13
1477,5.09845E+13
1478,5.29152E+13
1479,7.84824E+13
1480,5.5658E+13
1481,7.53288E+13
1482,5.71126E+13
1483,1.01031E+14
1484,1.02191E+14
1485,9.43219E+13
1486,8.63019E+13
1487,5.42287E+13
1488,7.60685E+13
1489,1.31273E+14
1490,1.33995E+14
1491,1.42523E+14
1492,1.27794E+14
1493,1.36424E+14
1494,1.48541E+14
1495,1.37547E+14
1496,1.33405E+14
1497,1.62396E+14
1498,1.48751E+14
1499,1.64121E+14
1500,1.86965E+14
1501,1.95679E+14
1502,1.74462E+14
1503,1.41496E+14
1504,1.25606E+14
1505,1.43956E+14
1506,1.87523E+14
1507,1.91723E+14
1508,1.79427E+14
1509,1.54493E+14
1510,1.96568E+14
1511,2.00879E+14
1512,1.96448E+14
1513,1.84303E+14
1514,1.76808E+14
1515,1.97314E+14
1516,1.95442E+14
1517,1.90896E+14
1518,1.90831E+14
1519,1.89046E+14
1520,2.00928E+14
1521,2.0766E+14
1522,2.03968E+14
1523,2.1186E+14
1524,2.09604E+14
1525,2.00438E+14
1526,2.03545E+14
1527,2.02814E+14
1528,2.12076E+14
1529,2.08272E+14
1530,1.99267E+14
1531,2.06715E+14
1532,2.13209E+14
1533,2.12287E+14
1534,2.0741E+14
1535,2.06386E+14
1536,2.10868E+14
1537,2.11005E+14
1538,2.09981E+14
1539,2.09731E+14
1540,2.05703E+14
1541,2.07484E+14
1542,2.08782E+14
1543,2.10179E+14
1544,2.10995E+14
1545,2.13852E+14
1546,2.13115E+14
1547,2.11308E+14
1548,2.08426E+14
1549,2.11678E+14
1550,2.10255E+14
1551,2.10683E+14
1552,2.11502E+14
1553,2.11053E+14
1554,2.07377E+14
1555,2.08098E+14
1556,2.06372E+14
1557,2.10519E+14
1558,2.10165E+14
1559,2.09319E+14
1560,2.0857E+14
1561,2.10667E+14
1562,2.09918E+14
1563,2.08873E+14
1564,2.0704E+14
1565,2.09239E+14
1566,2.06911E+14
1567,2.06057E+14
1568,2.02935E+14
1569,1.99512E+14
1570,1.90951E+14
1571,1.85935E+14
1572,1.86745E+14
1573,1.85578E+14
1574,1.89853E+14
1575,1.90271E+14
1576,1.91284E+14
1577,1.75637E+14
1578,1.84679E+14
1579,1.88173E+14
1580,1.93558E+14
1581,1.96166E+14
1582,1.93106E+14
1583,1.96215E+14
1584,1.98531E+14
1585,2.04437E+14
1586,2.03469E+14
1587,2.01302E+14
1588,1.98133E+14
1589,1.88165E+14
1590,1.91883E+14
1591,1.94005E+14
1592,2.01335E+14
1593,2.0597E+14
1594,2.05698E+14
1595,2.05426E+14
1596,1.97525E+14
1597,1.98252E+14
1598,2.02094E+14
1599,1.94779E+14
1600,1.8977E+14
1601,1.81129E+14
1602,1.80335E+14
1603,1.80448E+14
1604,1.84293E+14
1605,1.90262E+14
1606,1.93309E+14
1607,1.88174E+14
1608,1.85359E+14
1609,1.82944E+14
1610,1.77692E+14
1611,1.82665E+14
1612,1.86834E+14
1613,1.91717E+14
1614,1.93359E+14
1615,1.93783E+14
1616,1.88415E+14
1617,1.90871E+14
1618,1.96585E+14
1619,1.95179E+14
1620,1.91327E+14
1621,1.91139E+14
1622,1.93603E+14
1623,1.9709E+14
1624,1.97212E+14
1625,1.94472E+14
1626,1.9541E+14
1627,1.96451E+14
1628,1.97288E+14
1629,1.97E+14
1630,1.94148E+14
